id,name,type,price,availability,viv_rating,num_viv_ratigns,viv_price
09116,Château Bel Air Bergerac Rouge 2020,Cabernet Sauvignon,7.99,1,,,—
09332,"Château Guiot 2018/19, Costières de Nîmes",Grenache,7.99,1,3.6,680,—
09357,"Cuvée de Richard Rouge 2020/21, France",Grenache,6.99,1,3.5,246,—
97088,Chateau Timberlay Bordeaux Superieur 2018,Merlot,6.99,1,3.5,437,—
06059,Léon Perdigal Côtes-du-Rhône 2019/20,Grenache,6.99,1,3.5,9940,—
09600,Jean Bon Merlot IGP Pays D'Oc 2020/21,Merlot,6.99,1,3.5,465,—
06594,Les Lauriers du Terroir Sainte-Cécile Côtes du Rhône Villages 2019,Grenache,6.99,1,3.8,42,—
09472,"Alain Grignon Carignan 'Vieilles Vignes' 2020/21, Pays de l'Hérault",Carignan,6.99,1,3.4,197,—
09126,"Auberge Petite Pierre 2019, Corbieres",Grenache,6.99,1,3.5,76,7.49
61374,Pavillon La Tourelle Bordeaux Supérieur 2019,Merlot,6.99,1,,,—
06109,Les Frères Lumière Côtes du Rhône 2019/20,Grenache,6.49,1,3.5,299,—
97079,"Producta Vignobles ‘BDX Revolution’ Merlot, Bordeaux",Merlot,5.99,1,3.4,121,—
09251,La Baume Grande Olivette Malbec 2019/20 VdF,Malbec,5.49,1,3.6,380,—
